game_date,team,opponent,home_away,team_score,opponent_score,result,status,source,captured_on
2026-07-01,NYY,DET,home,2,6,L,final,MLB schedule feed,2026-07-22
2026-07-03,NYY,MIN,home,5,2,W,final,MLB schedule feed,2026-07-22
2026-07-04,NYY,MIN,home,4,11,L,final,MLB schedule feed,2026-07-22
2026-07-05,NYY,MIN,home,1,6,L,final,MLB schedule feed,2026-07-22
2026-07-06,NYY,TB,away,5,1,W,final,MLB schedule feed,2026-07-22
2026-07-07,NYY,TB,away,4,6,L,final,MLB schedule feed,2026-07-22
2026-07-08,NYY,TB,away,0,3,L,final,MLB schedule feed,2026-07-22
2026-07-09,NYY,TB,away,12,4,W,final,MLB schedule feed,2026-07-22
2026-07-10,NYY,WSH,away,5,3,W,final,MLB schedule feed,2026-07-22
2026-07-11,NYY,WSH,away,4,2,W,final,MLB schedule feed,2026-07-22
2026-07-12,NYY,WSH,away,5,3,W,final,MLB schedule feed,2026-07-22
2026-07-17,NYY,LAD,home,1,2,L,final,MLB schedule feed,2026-07-22
2026-07-19,NYY,LAD,home,2,8,L,final,MLB schedule feed,2026-07-22
2026-07-19,NYY,LAD,home,2,1,W,final,MLB schedule feed,2026-07-22
2026-07-20,NYY,PIT,home,8,5,W,final,MLB schedule feed,2026-07-22
2026-07-01,NYM,TOR,away,3,9,L,final,MLB schedule feed,2026-07-22
2026-07-03,NYM,ATL,away,3,5,L,final,MLB schedule feed,2026-07-22
2026-07-04,NYM,ATL,away,3,14,L,final,MLB schedule feed,2026-07-22
2026-07-05,NYM,ATL,away,10,9,W,final,MLB schedule feed,2026-07-22
2026-07-06,NYM,ATL,away,7,6,W,final,MLB schedule feed,2026-07-22
2026-07-07,NYM,KC,home,12,16,L,final,MLB schedule feed,2026-07-22
2026-07-08,NYM,KC,home,6,2,W,final,MLB schedule feed,2026-07-22
2026-07-09,NYM,KC,home,7,3,W,final,MLB schedule feed,2026-07-22
2026-07-10,NYM,BOS,home,2,6,L,final,MLB schedule feed,2026-07-22
2026-07-11,NYM,BOS,home,0,4,L,final,MLB schedule feed,2026-07-22
2026-07-12,NYM,BOS,home,2,3,L,final,MLB schedule feed,2026-07-22
2026-07-16,NYM,PHI,away,4,1,W,final,MLB schedule feed,2026-07-22
2026-07-18,NYM,PHI,away,1,6,L,final,MLB schedule feed,2026-07-22
2026-07-19,NYM,PHI,away,6,1,W,final,MLB schedule feed,2026-07-22
2026-07-20,NYM,MIL,away,3,8,L,final,MLB schedule feed,2026-07-22
2026-07-21,NYM,MIL,away,4,0,W,final,MLB schedule feed,2026-07-22
